NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1988 through 12/31/2004
Location: Latitude 34   Longitude -121
Elevation (meters): Average for one degree lat/lon region = 204   Site = na
Climate zone: 3 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1989 06 23    7.54
1989 06 24    5.94
1989 06 25    8.17
1989 06 26    5.75
1989 06 27    6.18
1989 06 28    6.74
1989 06 29    8.28
1989 06 30    8.18
1989 07 01    8.97
1989 07 02    9.15
1989 07 03    9.04
1989 07 04    8.76
1989 07 05    8.67
1989 07 06    8.75
1989 07 07    6.04
1989 07 08    6.78
1989 07 09    6.06
1989 07 10    6.30
1989 07 11    5.98
1989 07 12    4.37
1989 07 13    7.93
1989 07 14    7.74
1989 07 15    8.32
1989 07 16    7.31
1989 07 17    4.43
1989 07 18    5.15
1989 07 19    8.11
1989 07 20    7.78
1989 07 21    7.52
1989 07 22    5.44
1989 07 23    5.62
1989 07 24    5.27
1989 07 25    4.76
1989 07 26    7.42
1989 07 27    6.81
1989 07 28    6.43
1989 07 29    5.87
1989 07 30    7.43
1989 07 31    7.98
1989 08 01    8.28
1989 08 02    6.60
1989 08 03    6.44
1989 08 04    5.55
1989 08 05    6.45
1989 08 06    6.55
1989 08 07    5.91
1989 08 08    6.41
1989 08 09    5.17
1989 08 10    4.89
1989 08 11    5.51
1989 08 12    6.32
1989 08 13    5.40
1989 08 14    5.34
1989 08 15    4.69
1989 08 16    4.45
1989 08 17    6.48
1989 08 18    5.47
1989 08 19    5.41
1989 08 20    4.00
1989 08 21    6.26
1989 08 22    5.61
1989 08 23    5.98
1989 08 24    6.00
1989 08 25    4.43
1989 08 26    3.77
1989 08 27    4.52
1989 08 28    4.62
1989 08 29    6.35
1989 08 30    7.23
1989 08 31    5.55
1989 09 01    4.51
1989 09 02    5.77
1989 09 03    5.42
1989 09 04    5.46
1989 09 05    5.94
1989 09 06    5.07
1989 09 07    6.27
1989 09 08    5.34
1989 09 09    4.70
1989 09 10    5.83
1989 09 11    5.57
1989 09 12    4.74
1989 09 13    3.92
1989 09 14    4.29
1989 09 15    5.87
1989 09 16    2.11
1989 09 17    5.95
1989 09 18    3.27
1989 09 19    6.66
1989 09 20    6.01
1989 09 21    5.38
1989 09 22    4.91
1989 09 23    4.33
1989 09 24    6.08
1989 09 25    5.53
1989 09 26    5.92
1989 09 27    5.98
1989 09 28    1.62
1989 09 29    5.64
1989 09 30    6.02
1989 10 01    4.94
1989 10 02    5.03
1989 10 03    5.73
1989 10 04    5.97
1989 10 05    5.75
1989 10 06    5.01
1989 10 07    5.03
1989 10 08    5.50
1989 10 09    4.21
1989 10 10    2.73
1989 10 11    3.22
1989 10 12    3.13
1989 10 13    3.94
1989 10 14    3.63
1989 10 15    4.58
1989 10 16    4.93
1989 10 17    4.88
1989 10 18    4.76
1989 10 19    4.66
1989 10 20    2.52
1989 10 21    1.82
1989 10 22    3.10
1989 10 23    4.61
1989 10 24    3.20
1989 10 25    4.46
1989 10 26    4.60
1989 10 27    4.52
1989 10 28    4.58
1989 10 29    4.50
1989 10 30    3.87
1989 10 31    4.22
1989 11 01    4.26
1989 11 02    4.25
1989 11 03    4.38
1989 11 04    4.14
1989 11 05    3.38
1989 11 06    3.46
1989 11 07    4.03
1989 11 08    4.15
1989 11 09    4.11
1989 11 10    3.95
1989 11 11    3.20
1989 11 12    2.44
1989 11 13    3.20
1989 11 14    3.55
1989 11 15    3.30
1989 11 16    3.70
1989 11 17    3.50
1989 11 18    3.67
1989 11 19    3.62
1989 11 20    3.69
1989 11 21    3.37
1989 11 22    2.70
1989 11 23    2.68
1989 11 24    1.97
1989 11 25    1.93
1989 11 26    3.41
1989 11 27    3.55
1989 11 28    3.44
1989 11 29    3.48
1989 11 30    3.58
1989 12 01    3.56
1989 12 02    3.69
1989 12 03    3.45
1989 12 04    3.43
