lon,lat
-122.27,38.07
-122.27,38.16
-122.27,38.26
-122.27,38.35
-122.27,38.45
-122.27,38.55
-122.27,38.64
-122.27,38.74
-122.27,38.83
-122.27,38.93
-122.27,39.03
-122.27,39.12
-122.27,39.22
-122.27,39.31
-122.27,39.41
-122.27,39.51
-122.27,39.6
-122.27,39.7
-122.27,39.79
-122.27,39.98
-122.27,40.08
-122.27,40.18
-122.27,40.27
-122.27,40.37
-122.27,40.46
-122.27,40.56
-122.27,40.66
-122.27,40.75
-122.27,40.85
-122.27,40.94
-122.27,41.04
-122.27,41.14
-122.27,41.23
-122.27,41.33
-122.27,41.42
-122.27,41.52
-122.27,41.62
-122.27,41.71
-122.27,41.81
-122.27,41.9
-122.27,42
-122.17,36.72
-122.17,36.82
-122.17,36.91
-122.17,37.01
-122.17,37.11
-122.17,37.2
-122.17,37.3
-122.17,37.39
-122.17,37.49
-122.17,37.59
-122.17,37.68
-122.17,37.78
-122.17,37.87
-122.17,37.97
-122.17,38.07
-122.17,38.16
-122.17,38.26
-122.17,38.35
-122.17,38.45
-122.17,38.55
-122.17,38.64
-122.17,38.74
-122.17,38.83
-122.17,38.93
-122.17,39.03
-122.17,39.12
-122.17,39.22
-122.17,39.31
-122.17,39.41
-122.17,39.51
-122.17,39.6
-122.17,39.7
-122.17,39.89
-122.17,39.98
-122.17,40.08
-122.17,40.18
-122.17,40.27
-122.17,40.37
-122.17,40.46
-122.17,40.56
-122.17,40.66
-122.17,40.75
-122.17,40.85
-122.17,40.94
-122.17,41.04
-122.17,41.14
-122.17,41.23
-122.17,41.33
-122.17,41.42
-122.17,41.52
-122.17,41.62
-122.17,41.81
-122.17,41.9
-122.17,42
-122.06,36.72
-122.06,36.82
-122.06,36.91
-122.06,37.01
-122.06,37.11
-122.06,37.2
-122.06,37.3
-122.06,37.39
-122.06,37.49
-122.06,37.59
-122.06,37.68
-122.06,37.78
-122.06,37.87
-122.06,37.97
-122.06,38.07
-122.06,38.16
-122.06,38.26
-122.06,38.35
-122.06,38.45
-122.06,38.55
-122.06,38.64
-122.06,38.74
-122.06,38.83
-122.06,38.93
-122.06,39.03
-122.06,39.12
-122.06,39.22
-122.06,39.31
-122.06,39.41
-122.06,39.51
-122.06,39.6
-122.06,39.7
-122.06,39.79
-122.06,39.89
-122.06,39.98
-122.06,40.08
-122.06,40.18
-122.06,40.27
-122.06,40.37
-122.06,40.46
-122.06,40.56
-122.06,40.66
-122.06,40.75
-122.06,40.85
-122.06,40.94
-122.06,41.14
-122.06,41.23
-122.06,41.33
-122.06,41.42
-122.06,41.52
-122.06,41.62
-122.06,41.71
-122.06,41.81
-122.06,41.9
-122.06,42
-121.95,36.53
-121.95,36.63
-121.95,36.72
-121.95,36.82
-121.95,36.91
-121.95,37.01
-121.95,37.11
-121.95,37.2
-121.95,37.3
-121.95,37.39
-121.95,37.49
-121.95,37.59
-121.95,37.68
-121.95,37.78
-121.95,37.87
-121.95,37.97
-121.95,38.07
-121.95,38.16
-121.95,38.26
-121.95,38.35
-121.95,38.45
-121.95,38.55
-121.95,38.64
-121.95,38.74
-121.95,38.83
-121.95,38.93
-121.95,39.03
-121.95,39.12
-121.95,39.22
-121.95,39.41
-121.95,39.51
-121.95,39.6
-121.95,39.7
-121.95,39.79
-121.95,39.89
-121.95,39.98
-121.95,40.08
-121.95,40.18
-121.95,40.27
-121.95,40.37
-121.95,40.46
-121.95,40.56
-121.95,40.66
-121.95,40.75
-121.95,40.85
-121.95,40.94
-121.95,41.04
-121.95,41.14
-121.95,41.23
-121.95,41.33
-121.95,41.52
-121.95,41.62
-121.95,41.71
-121.95,41.81
-121.95,41.9
-121.95,42
-121.85,36.43
-121.85,36.53
-121.85,36.63
-121.85,36.72
-121.85,36.82
-121.85,36.91
-121.85,37.01
-121.85,37.11
-121.85,37.2
-121.85,37.3
-121.85,37.39
-121.85,37.49
-121.85,37.59
-121.85,37.68
-121.85,37.78
-121.85,37.87
-121.85,37.97
-121.85,38.07
-121.85,38.16
-121.85,38.26
-121.85,38.35
-121.85,38.45
-121.85,38.55
-121.85,38.64
-121.85,38.74
-121.85,38.83
-121.85,38.93
-121.85,39.03
-121.85,39.12
-121.85,39.22
-121.85,39.31
-121.85,39.41
-121.85,39.51
-121.85,39.6
-121.85,39.7
