STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TPCP
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20110301,3942
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20110401,235
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20110501,774
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20110601,998
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20110701,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20110801,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20110901,5
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20111001,685
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20111101,850
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20111201,35
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20120101,2022
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20120201,697
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20120301,3328
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20120401,1059
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20120501,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20120601,48
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20120701,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20120801,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20120901,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20121001,342
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20121101,2058
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20121201,5393
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20130101,334
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20130201,128
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20130301,613
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20130401,155
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20130501,5
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20130601,48
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20130701,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20130801,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20130901,94
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20131001,21
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20131101,262
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20131201,269
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20140101,15
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20140201,2573
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20140301,1244
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20140401,600
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20140501,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20140601,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20140701,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20140801,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20140901,212
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20141001,135
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20141101,928
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20141201,5355
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20150101,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20150201,1306
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20150301,179
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20150401,564
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20150501,41
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20150601,10
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20150701,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20150801,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20150901,10
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20151001,28
GHCND:US1CASZ0027,SANTA CRUZ 6.3 NNE CA US,121.9,37.0572,-121.9811,20121001,304
GHCND:US1CASZ0027,SANTA CRUZ 6.3 NNE CA US,121.9,37.0572,-121.9811,20121101,2108
GHCND:US1CASZ0027,SANTA CRUZ 6.3 NNE CA US,121.9,37.0572,-121.9811,20121201,4385
GHCND:US1CASZ0027,SANTA CRUZ 6.3 NNE CA US,121.9,37.0572,-121.9811,20130101,537
